name_part_type,year,exam_type,name_part,count,mean_total_score,median_total_score,p25_total_score,p75_total_score,max_total_score
given_name,2014,DH,Tín,1281,13.3097,13.25,9.75,16.5,28.5
given_name,2014,DH,Tính,655,12.6698,12.25,9.25,15.75,25.75
given_name,2014,DH,Tòng,96,13.6562,13.625,10.0,16.3125,25.25
given_name,2014,DH,Tó,1003,14.0219,13.75,10.5,17.0,27.5
given_name,2014,DH,Tôn,127,13.0295,12.75,9.25,16.5,25.0
given_name,2014,DH,Tùng,5946,13.8931,13.75,10.0,17.5,29.25
given_name,2014,DH,Tú,5668,13.862,13.75,10.25,17.0,28.5
given_name,2014,DH,Túc,32,13.6641,12.875,10.4375,17.5625,23.75
given_name,2014,DH,Tý,395,12.5146,12.0,9.25,15.5,27.0
given_name,2014,DH,Tăng,67,13.3657,13.75,10.375,15.875,22.5
given_name,2014,DH,Tĩnh,123,13.4715,12.75,10.0,17.25,24.0
given_name,2014,DH,Tơ,44,13.1818,13.125,10.1875,16.375,22.5
given_name,2014,DH,Tư,333,12.5428,12.0,8.75,15.75,26.75
given_name,2014,DH,Tươi,920,13.3704,13.0,10.0,16.3125,25.0
given_name,2014,DH,Tương,33,12.053,11.5,9.0,14.5,21.75
given_name,2014,DH,Tước,32,12.0703,12.5,8.75,14.125,20.5
given_name,2014,DH,Tường,653,13.9506,14.0,10.5,17.25,27.0
given_name,2014,DH,Tưởng,223,12.9552,12.25,9.625,16.5,24.25
given_name,2014,DH,Tạo,120,12.5229,12.75,9.5,15.3125,21.25
given_name,2014,DH,Tấm,53,13.0236,13.0,9.0,17.0,21.0
given_name,2014,DH,Tấn,586,13.4027,13.25,10.25,16.5,25.75
given_name,2014,DH,Tần,44,13.4943,13.5,9.75,16.3125,24.0
given_name,2014,DH,Tập,36,12.5694,13.0,9.25,15.625,20.0
given_name,2014,DH,Tỉnh,229,13.1321,12.5,9.25,16.75,25.5
given_name,2014,DH,Tịnh,251,12.9771,12.75,9.75,16.0,25.5
given_name,2014,DH,Tố,56,13.0223,13.0,10.1875,15.625,24.0
given_name,2014,DH,Tốt,51,12.2647,12.5,8.25,15.75,20.75
given_name,2014,DH,Tới,239,13.0785,13.0,9.625,16.0,24.5
given_name,2014,DH,Tứ,192,13.2721,13.0,9.5,17.25,24.5
given_name,2014,DH,Từ,43,14.8953,15.0,11.5,18.25,24.25
given_name,2014,DH,Tử,30,13.375,12.375,9.8125,15.9375,25.0
given_name,2014,DH,Tự,98,12.7551,13.0,8.75,15.9375,25.25
given_name,2014,DH,Tỷ,71,12.0,11.5,8.25,15.25,25.75
given_name,2014,DH,Uy,124,13.3286,12.5,9.9375,17.0625,25.0
given_name,2014,DH,Uyên,5165,14.5813,14.75,11.25,17.75,26.75
given_name,2014,DH,Uyển,73,14.9212,15.0,12.5,17.75,23.0
given_name,2014,DH,Vang,85,13.0176,13.0,9.25,16.25,22.25
given_name,2014,DH,Vi,2859,13.7239,13.75,10.5,17.0,27.0
given_name,2014,DH,Vinh,3556,13.6031,13.5,10.0,16.75,27.75
given_name,2014,DH,Viên,479,13.1232,13.25,9.75,16.25,23.0
given_name,2014,DH,Viết,32,12.9375,11.625,8.75,16.875,23.0
given_name,2014,DH,Viễn,172,13.1221,12.25,9.0,16.5,27.0
given_name,2014,DH,Viện,85,11.7765,11.0,8.5,14.25,21.5
given_name,2014,DH,Việt,3032,13.8877,13.75,10.0,17.25,27.25
given_name,2014,DH,Vui,497,13.2792,13.25,9.75,16.5,23.25
given_name,2014,DH,Vy,4855,14.411,14.5,11.0,17.75,27.25
given_name,2014,DH,Vàng,202,11.7166,11.75,9.0,14.25,21.0
given_name,2014,DH,Vân,7560,14.1516,14.25,10.75,17.3125,27.25
given_name,2014,DH,Vò,729,13.1835,13.0,9.5,16.5,25.75
given_name,2014,DH,Võ,78,13.8846,14.25,9.8125,17.1875,24.0
given_name,2014,DH,Văn,1232,13.3405,13.25,9.75,16.5,26.75
given_name,2014,DH,Vĩ,432,13.3553,13.0,9.5,16.5,26.5
given_name,2014,DH,Vĩnh,295,12.7686,12.5,9.0,16.0,24.5
given_name,2014,DH,Vũ,3525,13.3494,13.0,9.75,16.75,27.75
given_name,2014,DH,Vương,1685,13.0129,12.75,9.25,16.25,27.75
given_name,2014,DH,Vượng,374,13.5829,13.75,9.75,17.0,25.75
given_name,2014,DH,Vạn,54,11.9907,11.375,8.0625,16.1875,21.5
given_name,2014,DH,Vấn,44,12.1023,11.375,8.625,15.75,21.25
given_name,2014,DH,Vẹn,68,11.9338,11.5,9.0,14.5625,24.25
given_name,2014,DH,Vị,49,12.8163,12.0,9.25,15.75,24.0
given_name,2014,DH,Vịnh,104,12.9928,12.5,9.25,16.375,23.5
given_name,2014,DH,Vọng,40,13.4875,13.25,9.25,17.125,23.0
given_name,2014,DH,Vụ,37,11.7635,11.75,8.75,14.5,24.0
given_name,2014,DH,Vủ,70,12.1143,11.875,8.25,15.4375,21.75
given_name,2014,DH,Vững,94,13.2819,13.125,9.25,16.6875,25.75
given_name,2014,DH,Vỹ,396,13.6231,13.25,10.25,16.75,26.75
given_name,2014,DH,Xanh,53,10.7972,10.0,7.75,14.0,24.0
given_name,2014,DH,Xinh,130,13.1731,13.25,10.25,16.0,23.5
given_name,2014,DH,Xiêm,68,13.1471,12.875,10.1875,15.5,24.75
given_name,2014,DH,Xoan,151,14.0728,14.5,10.375,17.125,26.0
given_name,2014,DH,Xuyên,449,13.172,13.0,9.75,16.25,25.5
given_name,2014,DH,Xuyến,542,13.2887,13.0,10.0,16.25,27.0
given_name,2014,DH,Xuân,3155,13.8066,13.75,10.5,17.0,27.25
given_name,2014,DH,Xương,78,12.8846,13.375,9.3125,16.1875,21.75
given_name,2014,DH,Y,69,12.8949,12.75,10.25,15.5,23.25
given_name,2014,DH,Yên,724,13.1105,13.25,9.75,16.25,24.0
given_name,2014,DH,Yến,8549,14.1435,14.0,10.75,17.25,27.25
given_name,2014,DH,Ân,1332,14.198,14.0,11.0,17.25,27.25
given_name,2014,DH,Âu,162,13.3488,13.25,10.25,16.1875,22.75
given_name,2014,DH,Êban,181,8.4033,7.5,6.25,9.75,25.25
given_name,2014,DH,ái,666,13.5143,13.25,10.5,16.5,24.75
given_name,2014,DH,ánh,4363,14.2497,14.25,11.0,17.5,28.25
