year,province_code,province_name,region,subject,subject_label,count,mean,std,share_ge_8,share_ge_10,share_lt_5
2017,15,Phú Thọ,Miền Bắc,NguVan,Ngữ văn,12033,5.3258,1.3105,0.024765228953710628,0.0,0.3553561040472035
2017,15,Phú Thọ,Miền Bắc,SinhHoc,Sinh học,3489,4.7693,1.6038,0.05990255087417598,0.0008598452278589854,0.5978790484379478
2017,15,Phú Thọ,Miền Bắc,Toan,Toán,12180,4.7295,1.9144,0.08382594417077176,0.00016420361247947455,0.6073070607553366
2017,15,Phú Thọ,Miền Bắc,VatLy,Vật lí,3620,5.3189,1.8535,0.0925414364640884,0.0,0.4345303867403315
2017,16,Vĩnh Phúc,Miền Bắc,DiaLy,Địa lí,6992,6.6498,1.5576,0.23126430205949658,0.007294050343249428,0.13501144164759726
2017,16,Vĩnh Phúc,Miền Bắc,GDCD,GDCD,4775,8.266,0.832,0.7189528795811518,0.001256544502617801,0.0014659685863874345
2017,16,Vĩnh Phúc,Miền Bắc,HoaHoc,Hóa học,4243,6.0601,2.0011,0.22460523214706576,0.00919160971011077,0.32076361065284
2017,16,Vĩnh Phúc,Miền Bắc,LichSu,Lịch sử,7121,5.0017,1.713,0.06740626316528578,0.0021064457239151806,0.5188877966577727
2017,16,Vĩnh Phúc,Miền Bắc,NgoaiNgu,Ngoại ngữ,8647,4.5344,1.8159,0.07736787325083844,0.001850352723487915,0.6776916849774488
2017,16,Vĩnh Phúc,Miền Bắc,NguVan,Ngữ văn,11007,5.7609,1.4102,0.06077950395203053,0.0,0.24111928772599256
2017,16,Vĩnh Phúc,Miền Bắc,SinhHoc,Sinh học,4031,5.0855,1.4141,0.051848176631108904,0.0004961548002976929,0.49168940709501363
2017,16,Vĩnh Phúc,Miền Bắc,Toan,Toán,11238,5.3542,2.084,0.15500978821854422,0.0007118704395799964,0.47152518241680014
2017,16,Vĩnh Phúc,Miền Bắc,VatLy,Vật lí,4234,6.0148,1.7614,0.16910722720831364,0.0004723665564478035,0.2857817666509211
2017,17,Quảng Ninh,Miền Bắc,DiaLy,Địa lí,10101,6.1685,1.5011,0.1290961290961291,0.000396000396000396,0.19631719631719632
2017,17,Quảng Ninh,Miền Bắc,GDCD,GDCD,8886,7.8102,1.058,0.5390501913121765,0.00045014629754670267,0.014854827819041188
2017,17,Quảng Ninh,Miền Bắc,HoaHoc,Hóa học,4231,5.0686,2.112,0.1181753722524226,0.002363507445048452,0.5027180335618057
2017,17,Quảng Ninh,Miền Bắc,LichSu,Lịch sử,10424,4.4815,1.568,0.03242517267843438,0.0,0.6386224098234843
2017,17,Quảng Ninh,Miền Bắc,NgoaiNgu,Ngoại ngữ,11782,4.1599,1.7559,0.05372602274656255,0.0010185028008827025,0.735528772704125
2017,17,Quảng Ninh,Miền Bắc,NguVan,Ngữ văn,13268,4.4213,1.4738,0.009948748869460356,0.0,0.6190835091950557
2017,17,Quảng Ninh,Miền Bắc,SinhHoc,Sinh học,4084,4.5206,1.5147,0.04138099902056807,0.0002448579823702253,0.6581782566111655
2017,17,Quảng Ninh,Miền Bắc,Toan,Toán,13470,4.6039,1.9707,0.08062360801781737,0.0002969561989606533,0.6211581291759466
2017,17,Quảng Ninh,Miền Bắc,VatLy,Vật lí,4238,5.1645,1.9568,0.09556394525719679,0.00023596035865974517,0.4601226993865031
2017,18,Bắc Giang,Miền Bắc,DiaLy,Địa lí,12799,6.458,1.3791,0.15274630830533636,0.0008594421439174936,0.13016641925150402
2017,18,Bắc Giang,Miền Bắc,GDCD,GDCD,10941,7.9529,0.9214,0.581573896353167,0.0008225939128050452,0.003838771593090211
2017,18,Bắc Giang,Miền Bắc,HoaHoc,Hóa học,5024,5.8592,1.9673,0.18152866242038215,0.006767515923566879,0.3443471337579618
2017,18,Bắc Giang,Miền Bắc,LichSu,Lịch sử,13025,4.6423,1.4772,0.029021113243761998,7.677543186180422e-05,0.6051439539347409
2017,18,Bắc Giang,Miền Bắc,NgoaiNgu,Ngoại ngữ,15265,4.1294,1.5953,0.04120537176547658,0.0005895840157222404,0.7704552898788077
2017,18,Bắc Giang,Miền Bắc,NguVan,Ngữ văn,17307,5.3299,1.2208,0.009591494770901947,0.0,0.30970127693996646
2017,18,Bắc Giang,Miền Bắc,SinhHoc,Sinh học,4786,4.9734,1.5364,0.06268282490597576,0.002089427496865859,0.5369828666945257
2017,18,Bắc Giang,Miền Bắc,Toan,Toán,17622,4.8832,1.9513,0.0972080354102826,0.00028373623879241855,0.5702530927250028
2017,18,Bắc Giang,Miền Bắc,VatLy,Vật lí,4976,5.8189,1.6918,0.12339228295819936,0.0,0.3104903536977492
