year,segment,subject,subject_label,count,mean,share_ge_8,share_le_1
2025,gdpt_2006,HoaHoc,Hóa học,4148,6.3537,0.24059787849566056,0.0009643201542912247
2025,gdpt_2006,LichSu,Lịch sử,13872,6.3647,0.2721309111880046,0.0006487889273356401
2025,gdpt_2006,NgoaiNgu,Ngoại ngữ,5252,5.4628,0.10757806549885758,0.0003808073115003808
2025,gdpt_2006,NguVan,Ngữ văn,17372,6.2364,0.20515772507483307,0.0021874280451300945
2025,gdpt_2006,SinhHoc,Sinh học,1721,5.8759,0.19697850087158628,0.008715862870424172
2025,gdpt_2006,Toan,Toán,11245,6.4634,0.2690973766118275,0.001511783014673188
2025,gdpt_2006,VatLy,Vật lí,4134,6.4236,0.21794871794871795,0.0009675858732462506
2025,gdpt_2018,CongNgheCongNghiep,Công nghệ công nghiệp,2290,5.7926,0.11222707423580786,0.0
2025,gdpt_2018,CongNgheNongNghiep,Công nghệ nông nghiệp,22048,7.7159,0.4879807692307692,0.0
2025,gdpt_2018,DiaLy,Địa lí,476472,6.6278,0.2668278513742675,3.9876425057506e-05
2025,gdpt_2018,HoaHoc,Hóa học,240135,6.0649,0.19291648447748141,3.331459387427905e-05
2025,gdpt_2018,KinhTePhapLuat,Kinh tế và pháp luật,246401,7.6914,0.49116683779692455,0.0
2025,gdpt_2018,LichSu,Lịch sử,481293,6.5193,0.2302838395738147,2.701057360069646e-05
2025,gdpt_2018,NgoaiNgu,Ngoại ngữ,357723,5.4055,0.0604993248966379,7.827285357665009e-05
2025,gdpt_2018,NguVan,Ngữ văn,1126726,7.0021,0.26693180063298444,7.721486856609327e-05
2025,gdpt_2018,SinhHoc,Sinh học,69895,5.7783,0.10826239359038557,1.4307175048286717e-05
2025,gdpt_2018,TinHoc,Tin học,7602,6.7828,0.24796106287818995,0.0
2025,gdpt_2018,Toan,Toán,1126172,4.7831,0.054530746635505056,0.0006899478942825785
2025,gdpt_2018,VatLy,Vật lí,347599,6.9851,0.30789214008095533,8.630634725646507e-06
2026,main,CongNgheCongNghiep,Công nghệ công nghiệp,7209,6.5015,0.19323068386738798,0.0
2026,main,CongNgheNongNghiep,Công nghệ nông nghiệp,31079,6.9614,0.24302583738215516,0.0
