year,combo,combo_label,count,mean,p90,p95,share_ge_24,share_ge_27,share_ge_29
2020,KhoiD07,D07,286098,20.03,23.85,24.8,0.09359030821606583,0.0043236932799250605,2.7962446434438548e-05
2021,KhoiA,A00,347671,21.0185,24.75,25.45,0.1753496840403715,0.005988420086806205,3.739167201175824e-05
2021,KhoiA02,A02,342246,19.9073,23.25,24.05,0.053008654593479546,0.0005989843562817389,0.0
2021,KhoiA1,A01,336666,21.0767,25.4,26.15,0.22544599098216037,0.01640795328307581,6.237636114130919e-05
2021,KhoiB,B00,345465,19.9877,23.75,24.8,0.08743866961920889,0.008264223582707366,0.00022578264078850245
2021,KhoiC,C00,636154,18.3292,23.0,24.25,0.06424230610826938,0.004777145156675899,1.8863356985887064e-05
2021,KhoiC01,C01,339866,21.0169,24.0,24.6,0.10324363131351769,0.00035308033166012485,0.0
2021,KhoiD,D01/D00,875676,19.2697,24.6,25.5,0.14187667584814476,0.0073246269168048455,3.4259246570649417e-06
2021,KhoiD07,D07,335330,21.113,25.05,25.85,0.2017833179256255,0.01125756717263591,5.666060298810127e-05
2022,KhoiA,A00,323673,21.0955,24.95,25.75,0.19020740067908043,0.012009033808813217,0.00019155134966463067
2022,KhoiA02,A02,318688,19.3996,22.9,23.75,0.0409522793453158,0.0005146099005924289,6.275730495029622e-06
2022,KhoiA1,A01,312164,20.2909,24.55,25.55,0.14008982457938776,0.009901846465319511,7.36792198972335e-05
2022,KhoiB,B00,322124,19.4039,23.4,24.5,0.07024313618358148,0.003666290000124176,4.035712955259465e-05
2022,KhoiC,C00,656942,19.452,24.0,25.0,0.10503058108630595,0.008990139159925838,8.219903735794027e-05
2022,KhoiC01,C01,315585,21.0493,24.2,24.9,0.12175800497488791,0.0015431658665652677,0.0
2022,KhoiD,D01/D00,866730,18.4381,23.55,24.65,0.07882385517981379,0.002463281529426696,0.0
2022,KhoiD07,D07,310920,20.2397,24.2,25.1,0.1163386080020584,0.004493117200566062,1.9297568506368197e-05
2023,KhoiA,A00,325902,20.7745,24.45,25.2,0.13936704899018723,0.006323986965406779,7.977858374603409e-05
2023,KhoiA02,A02,322538,20.4265,23.7,24.4,0.0771909046375931,0.0009487254215007224,0.0
2023,KhoiA1,A01,315146,20.2753,24.55,25.4,0.14019533803380022,0.006977718263915772,3.1731324528948485e-05
2023,KhoiB,B00,324554,20.6047,23.95,24.75,0.09635376547508273,0.004418371056896541,7.08664813867646e-05
2023,KhoiC,C00,681721,18.975,23.25,24.5,0.07250766809295885,0.005399569618656313,3.813876937926219e-05
2023,KhoiC01,C01,320523,21.0115,24.15,24.85,0.11917709493546486,0.0011824424456279268,0.0
2023,KhoiD,D01/D00,878007,18.903,23.9,24.9,0.09506871813094885,0.0027676316931413984,0.0
2023,KhoiD07,D07,314274,20.4233,24.2,25.05,0.11646525006841164,0.0037005924766286744,1.2727747125120118e-05
2024,KhoiA,A00,343800,20.9046,24.95,25.75,0.19011634671320535,0.012024432809773123,6.980802792321117e-05
2024,KhoiA02,A02,339801,20.5102,23.9,24.6,0.09224222412529687,0.0009299560625189449,0.0
2024,KhoiA1,A01,329761,20.4738,24.65,25.5,0.15481818650477164,0.006516840984834471,3.032499294943914e-05
2024,KhoiB,B00,342291,20.5311,24.25,25.1,0.1200674280071635,0.0057319649070527705,4.674385245302973e-05
2024,KhoiC,C00,704007,20.9528,25.25,26.25,0.20547238876886167,0.03315734076507762,0.0013579410431998546
2024,KhoiC01,C01,337425,21.5456,24.8,25.4,0.19784248351485514,0.0029280580869822923,0.0
2024,KhoiD,D01/D00,908866,19.5093,24.25,25.2,0.1176124973318399,0.0038421505480455867,0.0
2024,KhoiD07,D07,328435,20.4535,24.3,25.2,0.12426203053876718,0.005739339595353723,3.653690989084598e-05
2025,KhoiA,A00,165462,19.3846,25.25,26.5,0.17583493490952606,0.03966469642576543,0.002079027208664225
2025,KhoiA02,A02,5699,15.8188,20.35,21.6,0.012458326022109141,0.00035093876118617303,0.0
2025,KhoiA1,A01,148927,18.8789,23.75,24.75,0.09225325159306237,0.007889771498787997,0.00020815567358504502
2025,KhoiB,B00,46597,18.3419,24.75,26.0,0.13324892160439514,0.02304869412193918,0.0007082000987188017
2025,KhoiC,C00,309991,19.7128,25.25,26.25,0.18917645996174082,0.03152672174353449,0.0006225987206080176
2025,KhoiC01,C01,345635,20.0873,24.25,25.25,0.12985085422483256,0.007377725056779551,2.893225512462569e-05
2025,KhoiD,D01/D00,360245,18.6129,22.5,23.5,0.03821565878776943,0.0007911282599342114,2.77588863134811e-06
2025,KhoiD07,D07,25394,17.5567,22.6,24.0,0.05272899110025991,0.0030715917145782467,7.875876191226274e-05
2026,KhoiA,A00,175241,19.4082,24.75,25.75,0.16150900759525452,0.019892605041057745,0.0011241661483328673
2026,KhoiA02,A02,3944,15.0454,19.85,21.25,0.007860040567951318,0.0,0.0
2026,KhoiA1,A01,144299,18.4087,23.75,24.75,0.09103320189329102,0.008316065946402955,0.00022176175857074548
2026,KhoiB,B00,47200,19.691,25.25,26.5,0.18906779661016948,0.03525423728813559,0.0036016949152542373
2026,KhoiC,C00,277161,17.2322,22.75,24.0,0.05313157334545625,0.0020890385010878154,0.0
2026,KhoiC01,C01,378056,19.2439,23.75,24.75,0.09344382842753454,0.0023594388132975007,2.6451107772393507e-06
2026,KhoiD,D01/D00,340059,19.0186,23.25,24.25,0.06633260698878723,0.001773221705645197,5.881332357032162e-06
2026,KhoiD07,D07,19295,18.7765,23.5,24.75,0.08515159367711843,0.007048458149779736,0.0002591344908007256
