year,subject,subject_label,count,mean,std,min,p05,p25,median,p75,p95,max,p90,share_ge_8,share_ge_9,share_ge_10,count_10,share_lt_5,share_le_1,skew,excess_kurtosis,normality_distance
2019,NguVan,Ngữ văn,868062,5.4838,1.3387,0.0,3.0,4.75,5.5,6.5,7.5,9.5,7.0,0.02241775357059749,0.0005322200487983577,0.0,0,0.2813911909517984,0.0016646276418043873,-0.4874,0.288,0.7753328980433181
2019,SinhHoc,Sinh học,333854,4.6831,1.2403,0.0,2.75,3.75,4.5,5.5,7.0,10.0,6.25,0.01884057102805418,0.004220407723136461,0.00011681753101655214,39,0.5970214524912087,0.000452293517525625,0.5578,0.9439,1.5016409837194198
2019,Toan,Toán,878189,5.635,1.7402,0.0,2.6,4.4,5.8,7.0,8.2,10.0,7.8,0.0917217136630042,0.011388209144045302,1.3664484524401922e-05,12,0.33747177429915426,0.0005181117048835729,-0.2178,-0.7178,0.9355371267427239
2019,VatLy,Vật lí,334982,5.568,1.5921,0.0,2.75,4.5,5.75,6.75,8.0,10.0,7.5,0.06020920527073097,0.004397251195586629,5.970470055107439e-06,2,0.3262861885116215,0.0005970470055107438,-0.2638,-0.558,0.8218292769519238
2020,DiaLy,Địa lí,561291,6.7718,1.1711,0.0,4.75,6.0,7.0,7.5,8.5,10.0,8.25,0.16317026284048738,0.018648080941971276,0.00044718336834191174,251,0.0633735442043432,0.0002690226638232218,-0.5973,0.8169,1.4142000975697502
2020,GDCD,GDCD,488658,8.1288,1.0895,0.0,6.0,7.5,8.25,9.0,9.5,10.0,9.25,0.656739478326355,0.2648232506169959,0.008818028150567472,4309,0.011494746837256322,9.822820868582935e-05,-1.0737,1.8826,2.95621971871123
2020,HoaHoc,Hóa học,299888,6.7044,1.6092,0.0,3.75,5.5,7.0,8.0,9.0,10.0,8.5,0.2726351171103879,0.050402150136050795,0.0014138611748386065,424,0.1561683028330577,0.00013004855145921145,-0.5573,-0.3685,0.9258565041549585
2020,LichSu,Lịch sử,574978,5.1781,1.5988,0.0,2.75,4.0,5.0,6.25,8.25,10.0,7.5,0.0695400519672057,0.02160952245129379,0.0006626340486070772,381,0.4728928759013388,0.00022783480411424438,0.4873,-0.1433,0.630626265357721
2020,NgoaiNgu,Ngoại ngữ,781995,4.5798,1.8146,0.0,2.2,3.2,4.2,5.6,8.2,10.0,7.4,0.0666551576416729,0.017666353365430727,0.00042839148587906574,335,0.6312457240775197,0.0007340200384912947,0.6805,-0.2108,0.8912604449060615
2020,NguVan,Ngữ văn,867186,6.6005,1.2482,0.0,4.25,6.0,6.75,7.5,8.5,10.0,8.0,0.14884119439197588,0.011856741229678523,2.3063102955997904e-06,2,0.09307230513407735,0.00015913541039638555,-0.6339,0.4821,1.1160087066444937
2020,SinhHoc,Sinh học,294619,5.5871,1.3519,0.0,3.5,4.75,5.5,6.5,8.0,10.0,7.25,0.055149192686147194,0.014245517091565718,0.000468401562696228,138,0.3046510917490046,0.00015273964000963957,0.2293,0.0838,0.31311583384015385
2020,Toan,Toán,877443,6.6676,1.8197,0.0,3.2,5.4,7.0,8.0,9.0,10.0,8.8,0.2984683905393285,0.07578611944023714,0.00032822644889753523,288,0.18350707681296677,0.00023819211048466967,-0.652,-0.3357,0.9877145659814393
2020,VatLy,Vật lí,297649,6.7157,1.5005,0.0,3.75,5.75,7.0,7.75,8.75,10.0,8.5,0.238673739874819,0.024774146729873107,3.695628071990835e-05,11,0.13112424365611844,0.00014110579911237733,-0.8076,0.2133,1.0209298793383297
2021,DiaLy,Địa lí,636555,6.9565,1.1768,0.0,5.0,6.25,7.0,7.75,8.75,10.0,8.5,0.22071462795830682,0.039011554382574955,0.0003581780050427693,228,0.046261517072366094,0.00019008569565866264,-0.4584,0.5823,1.0406192667940386
2021,GDCD,GDCD,538745,8.3755,1.1558,0.0,6.25,7.75,8.5,9.25,9.75,10.0,9.75,0.7151565211742105,0.39989234238832844,0.034875497684433265,18789,0.00991749343381377,5.3828805835785016e-05,-1.0438,1.306,2.34978876613277
